ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
Adult7,I-VT filter,,92,,Unclassified,32,,,,,4,4
Adult7,I-VT filter,,95,,Unclassified,32,,,,,4,4
Adult7,I-VT filter,,98,,Unclassified,32,,,,,4,4
Adult7,I-VT filter,,102,,Unclassified,32,,,,,4,4
Adult7,I-VT filter,,105,,Unclassified,32,,,,,4,4
Adult7,I-VT filter,,108,,Unclassified,32,,,,,4,4
Adult7,I-VT filter,,112,,Unclassified,32,,,,,4,4
Adult7,I-VT filter,,115,,Unclassified,32,,,,,4,4
Adult7,I-VT filter,,118,,Unclassified,32,,,,,4,4
Adult7,I-VT filter,,122,,Unclassified,32,,,,,4,4
Adult7,I-VT filter,,125,,Unclassified,10,947,551,632.92,632.92,0,0
Adult7,I-VT filter,,128,,Unclassified,10,950,549,632.92,632.92,0,0
Adult7,I-VT filter,,132,,Unclassified,10,937,546,632.85,632.85,0,0
Adult7,I-VT filter,,135,1,Fixation,107,941,542,632.84,632.84,0,0
Adult7,I-VT filter,,138,1,Fixation,107,936,552,632.82,632.82,0,0
Adult7,I-VT filter,,142,1,Fixation,107,938,549,632.79,632.79,0,0
Adult7,I-VT filter,,145,1,Fixation,107,937,546,632.75,632.75,0,0
Adult7,I-VT filter,,148,1,Fixation,107,935,548,632.74,632.74,0,0
Adult7,I-VT filter,,152,1,Fixation,107,939,552,632.69,632.69,0,0
Adult7,I-VT filter,,155,1,Fixation,107,936,554,632.68,632.68,0,0
Adult7,I-VT filter,,158,1,Fixation,107,937,555,632.64,632.64,0,0
Adult7,I-VT filter,,162,1,Fixation,107,935,552,632.6,632.6,0,0
Adult7,I-VT filter,,165,1,Fixation,107,939,551,632.58,632.58,0,0
Adult7,I-VT filter,,168,1,Fixation,107,934,556,632.52,632.52,0,0
Adult7,I-VT filter,,172,1,Fixation,107,934,552,632.51,632.51,0,0
Adult7,I-VT filter,,175,1,Fixation,107,935,546,632.5,632.5,0,0
Adult7,I-VT filter,,178,1,Fixation,107,933,553,632.46,632.46,0,0
Adult7,I-VT filter,,182,1,Fixation,107,940,552,632.46,632.46,0,0
Adult7,I-VT filter,,185,1,Fixation,107,938,555,632.45,632.45,0,0
Adult7,I-VT filter,,188,1,Fixation,107,939,551,632.46,632.46,0,0
Adult7,I-VT filter,,192,1,Fixation,107,939,551,632.47,632.47,0,0
Adult7,I-VT filter,,195,1,Fixation,107,935,555,632.48,632.48,0,0
Adult7,I-VT filter,,198,1,Fixation,107,938,556,632.49,632.49,0,0
Adult7,I-VT filter,,202,1,Fixation,107,940,553,632.5,632.5,0,0
Adult7,I-VT filter,,205,1,Fixation,107,932,556,632.48,632.48,0,0
Adult7,I-VT filter,,208,1,Fixation,107,936,552,632.47,632.47,0,0
Adult7,I-VT filter,,212,1,Fixation,107,941,548,632.43,632.43,0,0
Adult7,I-VT filter,,215,1,Fixation,107,939,546,632.39,632.39,0,0
Adult7,I-VT filter,,218,1,Fixation,107,936,550,632.35,632.35,0,0
Adult7,I-VT filter,,222,1,Fixation,107,940,552,632.33,632.33,0,0
Adult7,I-VT filter,,225,1,Fixation,107,933,551,632.29,632.29,0,0
Adult7,I-VT filter,,228,1,Fixation,107,935,556,632.28,632.28,0,0
Adult7,I-VT filter,,232,1,Fixation,107,937,549,632.26,632.26,0,0
Adult7,I-VT filter,,235,1,Fixation,107,942,553,632.23,632.23,0,0
Adult7,I-VT filter,,238,1,Fixation,107,936,551,632.22,632.22,0,0
Adult7,I-VT filter,,242,,Saccade,23,938,553,632.21,632.21,0,0
Adult7,I-VT filter,,245,,Saccade,23,938,553,632.24,632.24,0,0
Adult7,I-VT filter,,248,,Saccade,23,934,542,632.24,632.24,0,0
Adult7,I-VT filter,,252,,Saccade,23,940,515,632.27,632.27,0,0
Adult7,I-VT filter,,255,,Saccade,23,939,494,632.3,632.3,0,0
Adult7,I-VT filter,,258,,Saccade,23,938,470,632.3,632.3,0,0
Adult7,I-VT filter,,262,,Saccade,23,936,465,632.33,632.33,0,0
Adult7,I-VT filter,,265,2,Fixation,243,942,467,632.34,632.34,0,0
Adult7,I-VT filter,,268,2,Fixation,243,938,470,632.31,632.31,0,0
Adult7,I-VT filter,,272,2,Fixation,243,937,481,632.28,632.28,0,0
Adult7,I-VT filter,,275,2,Fixation,243,938,474,632.28,632.28,0,0
Adult7,I-VT filter,,278,2,Fixation,243,939,475,632.29,632.29,0,0
Adult7,I-VT filter,,282,2,Fixation,243,936,481,632.24,632.24,0,0
Adult7,I-VT filter,,285,2,Fixation,243,935,478,632.26,632.26,0,0
Adult7,I-VT filter,,288,2,Fixation,243,942,478,632.25,632.25,0,0
Adult7,I-VT filter,,292,2,Fixation,243,938,472,632.26,632.26,0,0
Adult7,I-VT filter,,295,2,Fixation,243,937,469,632.25,632.25,0,0
Adult7,I-VT filter,,298,2,Fixation,243,938,471,632.22,632.22,0,0
Adult7,I-VT filter,,302,2,Fixation,243,936,475,632.24,632.24,0,0
Adult7,I-VT filter,,305,2,Fixation,243,939,469,632.21,632.21,0,0
Adult7,I-VT filter,,308,2,Fixation,243,937,469,632.2,632.2,0,0
Adult7,I-VT filter,,312,2,Fixation,243,936,474,632.21,632.21,0,0
Adult7,I-VT filter,,315,2,Fixation,243,940,477,632.18,632.18,0,0
Adult7,I-VT filter,,318,2,Fixation,243,936,468,632.2,632.2,0,0
Adult7,I-VT filter,,322,2,Fixation,243,943,469,632.18,632.18,0,0
Adult7,I-VT filter,,325,2,Fixation,243,938,472,632.2,632.2,0,0
Adult7,I-VT filter,,328,2,Fixation,243,941,471,632.17,632.17,0,0
Adult7,I-VT filter,,332,2,Fixation,243,939,475,632.17,632.17,0,0
Adult7,I-VT filter,,335,2,Fixation,243,941,472,632.15,632.15,0,0
Adult7,I-VT filter,,338,2,Fixation,243,936,474,632.15,632.15,0,0
Adult7,I-VT filter,,342,2,Fixation,243,939,467,632.14,632.14,0,0
Adult7,I-VT filter,,345,2,Fixation,243,944,468,632.12,632.12,0,0
Adult7,I-VT filter,,348,2,Fixation,243,939,470,632.13,632.13,0,0
Adult7,I-VT filter,,352,2,Fixation,243,943,469,632.08,632.08,0,0
Adult7,I-VT filter,,355,2,Fixation,243,942,469,632.11,632.11,0,0
Adult7,I-VT filter,,358,2,Fixation,243,941,469,632.1,632.1,0,0
Adult7,I-VT filter,,362,2,Fixation,243,937,461,632.11,632.11,0,0
Adult7,I-VT filter,,365,2,Fixation,243,945,463,632.09,632.09,0,0
Adult7,I-VT filter,,368,2,Fixation,243,938,472,632.1,632.1,0,0
Adult7,I-VT filter,,372,2,Fixation,243,941,466,632.1,632.1,0,0
Adult7,I-VT filter,,375,2,Fixation,243,935,466,632.09,632.09,0,0
Adult7,I-VT filter,,378,2,Fixation,243,931,470,632.06,632.06,0,0
Adult7,I-VT filter,,382,2,Fixation,243,936,469,632.06,632.06,0,0
Adult7,I-VT filter,,385,2,Fixation,243,940,470,632.08,632.08,0,0
Adult7,I-VT filter,,388,2,Fixation,243,941,462,632.07,632.07,0,0
Adult7,I-VT filter,,392,2,Fixation,243,939,464,632.09,632.09,0,0
Adult7,I-VT filter,,395,2,Fixation,243,934,470,632.05,632.05,0,0
Adult7,I-VT filter,,398,2,Fixation,243,937,469,632.05,632.05,0,0
Adult7,I-VT filter,,402,2,Fixation,243,942,458,632.06,632.06,0,0
Adult7,I-VT filter,,405,2,Fixation,243,935,469,632.05,632.05,0,0
Adult7,I-VT filter,,408,2,Fixation,243,939,462,632.04,632.04,0,0
Adult7,I-VT filter,,412,2,Fixation,243,936,466,632.05,632.05,0,0
Adult7,I-VT filter,,415,2,Fixation,243,937,467,632,632,0,0
Adult7,I-VT filter,,418,2,Fixation,243,938,464,632,632,0,0
Adult7,I-VT filter,,422,2,Fixation,243,940,466,631.97,631.97,0,0
Adult7,I-VT filter,,425,2,Fixation,243,939,467,631.97,631.97,0,0
Adult7,I-VT filter,,428,2,Fixation,243,936,466,631.94,631.94,0,0
Adult7,I-VT filter,,432,2,Fixation,243,938,467,631.93,631.93,0,0
Adult7,I-VT filter,,435,2,Fixation,243,938,465,631.93,631.93,0,0
Adult7,I-VT filter,,438,2,Fixation,243,940,451,631.96,631.96,0,0
Adult7,I-VT filter,,442,2,Fixation,243,935,458,631.95,631.95,0,0
Adult7,I-VT filter,,445,2,Fixation,243,934,469,631.95,631.95,0,0
Adult7,I-VT filter,,448,2,Fixation,243,938,454,631.95,631.95,0,0
Adult7,I-VT filter,,452,2,Fixation,243,935,463,631.93,631.93,0,0
Adult7,I-VT filter,,455,2,Fixation,243,938,455,631.95,631.95,0,0
Adult7,I-VT filter,,458,2,Fixation,243,930,465,631.94,631.94,0,0
Adult7,I-VT filter,,462,2,Fixation,243,935,463,631.9,631.9,0,0
Adult7,I-VT filter,,465,2,Fixation,243,937,466,631.94,631.94,0,0
Adult7,I-VT filter,,468,2,Fixation,243,933,464,631.93,631.93,0,0
