ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
JE000328_03,I-VT filter,,107,,Unclassified,8,997,525,652.38,652.38,0,0
JE000328_03,I-VT filter,,110,,Unclassified,8,993,459,651.57,651.57,0,0
JE000328_03,I-VT filter,,113,,Unclassified,8,941,492,652.37,652.37,0,0
JE000328_03,I-VT filter,,117,,Saccade,7,1040,503,,0,4,0
JE000328_03,I-VT filter,,120,,Saccade,7,1063,571,,0,4,0
JE000328_03,I-VT filter,,123,,Unclassified,10,1021,596,,0,4,0
JE000328_03,I-VT filter,,127,,Unclassified,10,1109,655,,0,4,0
JE000328_03,I-VT filter,,130,,Unclassified,10,1145,726,,0,4,0
JE000328_03,I-VT filter,,133,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,137,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,140,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,143,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,147,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,150,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,153,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,157,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,160,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,163,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,167,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,170,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,173,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,177,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,180,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,183,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,187,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,190,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,193,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,197,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,200,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,203,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,207,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,210,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,213,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,216,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,220,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,223,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,227,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,230,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,233,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,237,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,240,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,243,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,246,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,250,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,253,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,257,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,260,,Unclassified,1063,,,,,4,4
JE000328_03,I-VT filter,,263,,Unclassified,1063,,,,,4,4
