ParticipantName,FixationFilter,MediaName,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,GazePointX (ADCSpx),GazePointY (ADCSpx),DistanceLeft,DistanceRight,ValidityLeft,ValidityRight
SchoolAge5,I-VT filter,,95,,Unclassified,8,718,572,624.89,624.89,0,0
SchoolAge5,I-VT filter,,99,,Unclassified,8,721,568,624.88,624.88,0,0
SchoolAge5,I-VT filter,,102,,Unclassified,8,717,573,624.88,624.88,0,0
SchoolAge5,I-VT filter,,105,1,Fixation,183,712,573,624.85,624.85,0,0
SchoolAge5,I-VT filter,,109,1,Fixation,183,706,568,624.87,624.87,0,0
SchoolAge5,I-VT filter,,112,1,Fixation,183,711,568,624.9,624.9,0,0
SchoolAge5,I-VT filter,,115,1,Fixation,183,718,570,624.87,624.87,0,0
SchoolAge5,I-VT filter,,119,1,Fixation,183,721,574,624.8,624.8,0,0
SchoolAge5,I-VT filter,,122,1,Fixation,183,723,567,624.84,624.84,0,0
SchoolAge5,I-VT filter,,125,1,Fixation,183,722,573,624.86,624.86,0,0
SchoolAge5,I-VT filter,,129,1,Fixation,183,717,568,624.87,624.87,0,0
SchoolAge5,I-VT filter,,132,1,Fixation,183,715,572,624.81,624.81,0,0
SchoolAge5,I-VT filter,,135,1,Fixation,183,723,562,624.83,624.83,0,0
SchoolAge5,I-VT filter,,139,1,Fixation,183,716,573,624.85,624.85,0,0
SchoolAge5,I-VT filter,,142,1,Fixation,183,716,576,624.84,624.84,0,0
SchoolAge5,I-VT filter,,145,1,Fixation,183,719,562,624.83,624.83,0,0
SchoolAge5,I-VT filter,,149,1,Fixation,183,719,572,624.85,624.85,0,0
SchoolAge5,I-VT filter,,152,1,Fixation,183,719,573,624.83,624.83,0,0
SchoolAge5,I-VT filter,,155,1,Fixation,183,713,573,624.84,624.84,0,0
SchoolAge5,I-VT filter,,159,1,Fixation,183,720,570,624.81,624.81,0,0
SchoolAge5,I-VT filter,,162,1,Fixation,183,716,575,624.83,624.83,0,0
SchoolAge5,I-VT filter,,165,1,Fixation,183,717,573,624.87,624.87,0,0
SchoolAge5,I-VT filter,,169,1,Fixation,183,719,575,624.8,624.8,0,0
SchoolAge5,I-VT filter,,172,1,Fixation,183,719,572,624.78,624.78,0,0
SchoolAge5,I-VT filter,,175,1,Fixation,183,720,574,624.78,624.78,0,0
SchoolAge5,I-VT filter,,179,1,Fixation,183,719,573,624.84,624.84,0,0
SchoolAge5,I-VT filter,,182,1,Fixation,183,722,573,624.84,624.84,0,0
SchoolAge5,I-VT filter,,185,1,Fixation,183,720,574,624.82,624.82,0,0
SchoolAge5,I-VT filter,,189,1,Fixation,183,718,580,624.8,624.8,0,0
SchoolAge5,I-VT filter,,192,1,Fixation,183,719,573,624.79,624.79,0,0
SchoolAge5,I-VT filter,,195,1,Fixation,183,721,577,624.78,624.78,0,0
SchoolAge5,I-VT filter,,199,1,Fixation,183,721,576,624.77,624.77,0,0
SchoolAge5,I-VT filter,,202,1,Fixation,183,720,572,624.81,624.81,0,0
SchoolAge5,I-VT filter,,205,1,Fixation,183,721,574,624.81,624.81,0,0
SchoolAge5,I-VT filter,,209,1,Fixation,183,720,578,624.86,624.86,0,0
SchoolAge5,I-VT filter,,212,1,Fixation,183,725,568,624.82,624.82,0,0
SchoolAge5,I-VT filter,,215,1,Fixation,183,725,576,624.79,624.79,0,0
SchoolAge5,I-VT filter,,219,1,Fixation,183,722,575,624.81,624.81,0,0
SchoolAge5,I-VT filter,,222,1,Fixation,183,719,570,624.82,624.82,0,0
SchoolAge5,I-VT filter,,225,1,Fixation,183,722,570,624.85,624.85,0,0
SchoolAge5,I-VT filter,,229,1,Fixation,183,723,571,624.84,624.84,0,0
SchoolAge5,I-VT filter,,232,1,Fixation,183,719,576,624.81,624.81,0,0
SchoolAge5,I-VT filter,,235,1,Fixation,183,718,576,624.79,624.79,0,0
SchoolAge5,I-VT filter,,239,1,Fixation,183,721,577,624.78,624.78,0,0
SchoolAge5,I-VT filter,,242,1,Fixation,183,719,573,624.79,624.79,0,0
SchoolAge5,I-VT filter,,245,1,Fixation,183,720,567,624.83,624.83,0,0
SchoolAge5,I-VT filter,,249,1,Fixation,183,722,575,624.84,624.84,0,0
SchoolAge5,I-VT filter,,252,1,Fixation,183,718,569,624.85,624.85,0,0
SchoolAge5,I-VT filter,,255,1,Fixation,183,721,571,624.86,624.86,0,0
SchoolAge5,I-VT filter,,259,1,Fixation,183,721,564,624.88,624.88,0,0
SchoolAge5,I-VT filter,,262,1,Fixation,183,722,571,624.89,624.89,0,0
SchoolAge5,I-VT filter,,265,1,Fixation,183,720,577,624.86,624.86,0,0
SchoolAge5,I-VT filter,,269,1,Fixation,183,723,571,624.85,624.85,0,0
SchoolAge5,I-VT filter,,272,1,Fixation,183,718,574,624.84,624.84,0,0
SchoolAge5,I-VT filter,,275,1,Fixation,183,718,574,624.84,624.84,0,0
SchoolAge5,I-VT filter,,279,1,Fixation,183,720,579,624.85,624.85,0,0
SchoolAge5,I-VT filter,,282,1,Fixation,183,722,577,624.88,624.88,0,0
SchoolAge5,I-VT filter,,285,1,Fixation,183,721,579,624.86,624.86,0,0
SchoolAge5,I-VT filter,,289,,Saccade,20,719,573,624.85,624.85,0,0
SchoolAge5,I-VT filter,,292,,Saccade,20,714,571,624.87,624.87,0,0
SchoolAge5,I-VT filter,,295,,Saccade,20,703,578,624.93,624.93,0,0
SchoolAge5,I-VT filter,,299,,Saccade,20,685,562,624.96,624.96,0,0
SchoolAge5,I-VT filter,,302,,Saccade,20,670,574,624.97,624.97,0,0
SchoolAge5,I-VT filter,,305,,Saccade,20,670,568,625,625,0,0
SchoolAge5,I-VT filter,,309,2,Fixation,177,674,575,625.01,625.01,0,0
SchoolAge5,I-VT filter,,312,2,Fixation,177,680,569,625.02,625.02,0,0
SchoolAge5,I-VT filter,,315,2,Fixation,177,677,581,625.03,625.03,0,0
SchoolAge5,I-VT filter,,319,2,Fixation,177,677,568,625.05,625.05,0,0
SchoolAge5,I-VT filter,,322,2,Fixation,177,676,574,625.03,625.03,0,0
SchoolAge5,I-VT filter,,325,2,Fixation,177,674,572,625.06,625.06,0,0
SchoolAge5,I-VT filter,,329,2,Fixation,177,674,566,625.02,625.02,0,0
SchoolAge5,I-VT filter,,332,2,Fixation,177,678,567,625.04,625.04,0,0
SchoolAge5,I-VT filter,,335,2,Fixation,177,673,570,625.05,625.05,0,0
SchoolAge5,I-VT filter,,339,2,Fixation,177,674,567,625.09,625.09,0,0
SchoolAge5,I-VT filter,,342,2,Fixation,177,676,571,625.09,625.09,0,0
SchoolAge5,I-VT filter,,345,2,Fixation,177,676,570,625.11,625.11,0,0
SchoolAge5,I-VT filter,,349,2,Fixation,177,674,570,625.15,625.15,0,0
SchoolAge5,I-VT filter,,352,2,Fixation,177,674,570,625.15,625.15,0,0
SchoolAge5,I-VT filter,,355,2,Fixation,177,675,571,625.14,625.14,0,0
SchoolAge5,I-VT filter,,359,2,Fixation,177,676,573,625.15,625.15,0,0
SchoolAge5,I-VT filter,,362,2,Fixation,177,675,557,625.16,625.16,0,0
SchoolAge5,I-VT filter,,365,2,Fixation,177,675,574,625.15,625.15,0,0
SchoolAge5,I-VT filter,,369,2,Fixation,177,673,571,625.19,625.19,0,0
SchoolAge5,I-VT filter,,372,2,Fixation,177,672,569,625.21,625.21,0,0
SchoolAge5,I-VT filter,,375,2,Fixation,177,674,578,625.19,625.19,0,0
SchoolAge5,I-VT filter,,379,2,Fixation,177,671,575,625.19,625.19,0,0
SchoolAge5,I-VT filter,,382,2,Fixation,177,673,570,625.2,625.2,0,0
SchoolAge5,I-VT filter,,385,2,Fixation,177,673,572,625.2,625.2,0,0
SchoolAge5,I-VT filter,,389,2,Fixation,177,674,568,625.18,625.18,0,0
SchoolAge5,I-VT filter,,392,2,Fixation,177,674,563,625.21,625.21,0,0
SchoolAge5,I-VT filter,,395,2,Fixation,177,672,567,625.22,625.22,0,0
SchoolAge5,I-VT filter,,399,2,Fixation,177,674,570,625.24,625.24,0,0
SchoolAge5,I-VT filter,,402,2,Fixation,177,670,564,625.26,625.26,0,0
SchoolAge5,I-VT filter,,405,2,Fixation,177,676,563,625.24,625.24,0,0
SchoolAge5,I-VT filter,,409,2,Fixation,177,669,563,625.23,625.23,0,0
SchoolAge5,I-VT filter,,412,2,Fixation,177,673,566,625.21,625.21,0,0
SchoolAge5,I-VT filter,,415,2,Fixation,177,675,564,625.19,625.19,0,0
SchoolAge5,I-VT filter,,419,2,Fixation,177,673,568,625.2,625.2,0,0
